id,task,type,input,output,source
T0023,COMPLETION_EASY,SHA,"제1조 주식의 양도 제한
(1) 각 당사자는 본건 거래종결일로부터 [?]년이 되는 날까지(“매도제한기간”) 상대방 당사자의 [BLANK]가 없는 한 자신이 보유하고 있는 회사 발행 주식 전부 또는 일부를 제3자에게 양도, 담보 설정 또는 기타 어떠한 방법으로도 처분(“양도등”)할 수 없다. 다만, 각 당사자는 다음 각 호가 전부 충족되는 것을 전제조건으로 상대방 당사자의 사전 서면 동의가 없어도 자신의 계열회사에 이를 양도등할 수 있다.
1. 상대방 당사자에게 이를 사전에 서면으로 통지할 것
2. 양수하는 계열회사가, 양도하는 당사자의 본 계약상 지위와 본 계약으로 인한 권리 및 의무를 전부 승계할 것
",사전 서면 동의,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0024,COMPLETION_HARD,SHA,"제6조 주주간 합의사항
당사자들은 회사의 경영과 관련한 아래 사항에 관하여 동의권을 갖는다. 각 당사자는 회사로 하여금 당사자들의 사전 서면합의 없이는 다음 각 호의 사항이 실행되거나 이에 대한 약정 등이 체결되지 않도록 하여야 한다.
1. 주식, 전환사채, 신주인수권부사채 기타 회사의 주식에 관련된 증권을 발행하거나, 주식매수선택권(스톡옵션)을 포함하여 주식에 관련된 권리를 부여하는 행위","
2. 발행주식의 증감, 주식의 병합 또는 분할, 자기주식 취득, 감자를 포함한 모든 자본구조의 변경
3. 기업공개(IPO)
4. 정관, 이사회규정(이사회내 위원회 등 관련 규정 포함), 기타 자금 집행 및 승인 관련 규정의 제정, 변경 또는 폐지
5. 합병, 분할, 주식의 포괄적 교환 또는 이전, 영업양수도, 다른 회사의 주식의 취득 및 그에 준하는 행위 
6. CEO 또는 CFO의 해임
7. 회계정책의 변경
8. 해산 또는 청산, 파산 또는 회생, 워크아웃 및 그에 유사한 절차의 신청
9. 상법상 주주총회 특별결의사항
10. 이상의 각 행위를 하기로 하는 합의 또는 약속

",SY_WORK-#7742588-v3-_LGHH_ M&A - 국문 표준 SHA 양식 - 50_50
T0025,COMPLETION_MEDIUM,SHA,"제6조 주주간 합의사항
당사자들은 회사의 경영과 관련한 아래 사항에 관하여 동의권을 갖는다. 각 당사자는 회사로 하여금 당사자들의 사전 서면합의 없이는 다음 각 호의 사항이 실행되거나 이에 대한 약정 등이 체결되지 않도록 하여야 한다.
1. 주식, 전환사채, 신주인수권부사채 기타 회사의 주식에 관련된 [BLANK] 하는 행위
2. 발행주식의 증감, 주식의 병합 또는 분할, 자기주식 취득, 감자를 포함한 모든 자본구조의 변경
3. 기업공개(IPO)
4. 정관, 이사회규정(이사회내 위원회 등 관련 규정 포함), 기타 자금 집행 및 승인 관련 규정의 제정, 변경 또는 폐지
5. 합병, 분할, 주식의 포괄적 교환 또는 이전, 영업양수도, 다른 회사의 주식의 취득 및 그에 준하는 행위 
6. CEO 또는 CFO의 해임
7. 회계정책의 변경
8. 해산 또는 청산, 파산 또는 회생, 워크아웃 및 그에 유사한 절차의 신청
9. 상법상 주주총회 특별결의사항
10. 이상의 각 행위를 하기로 하는 합의 또는 약속

","증권을 발행하거나, 주식매수선택권(스톡옵션)을 포함하여 주식에 관련된 권리를 부여",SY_WORK-#7742588-v3-_LGHH_ M&A - 국문 표준 SHA 양식 - 50_50
T0026,COMPLETION_EASY,SHA,"제6조 주주간 합의사항
당사자들은 회사의 경영과 관련한 아래 사항에 관하여 [BLANK]을 갖는다. 각 당사자는 회사로 하여금 당사자들의 사전 서면합의 없이는 다음 각 호의 사항이 실행되거나 이에 대한 약정 등이 체결되지 않도록 하여야 한다.
1. 주식, 전환사채, 신주인수권부사채 기타 회사의 주식에 관련된 증권을 발행하거나, 주식매수선택권(스톡옵션)을 포함하여 주식에 관련된 권리를 부여하는 행위
2. 발행주식의 증감, 주식의 병합 또는 분할, 자기주식 취득, 감자를 포함한 모든 자본구조의 변경
3. 기업공개(IPO)
4. 정관, 이사회규정(이사회내 위원회 등 관련 규정 포함), 기타 자금 집행 및 승인 관련 규정의 제정, 변경 또는 폐지
5. 합병, 분할, 주식의 포괄적 교환 또는 이전, 영업양수도, 다른 회사의 주식의 취득 및 그에 준하는 행위 
6. CEO 또는 CFO의 해임
7. 회계정책의 변경
8. 해산 또는 청산, 파산 또는 회생, 워크아웃 및 그에 유사한 절차의 신청
9. 상법상 주주총회 특별결의사항
10. 이상의 각 행위를 하기로 하는 합의 또는 약속",동의권,SY_WORK-#7742588-v3-_LGHH_ M&A - 국문 표준 SHA 양식 - 50_50
T0027,COMPLETION_EASY,SHA,"제2조 회사의 지배구조
(1) 주주총회
1. 권한 및 책임. 주주총회는 부록 1에 기재된 사항(“주주총회 특별결의사항”) 및 기타 관련 법률에 따라 주주총회에 유보된 사항을 결정 및 결의한다.
2. 주주총회. 정기주주총회는 회사의 매 회계연도 종료 후 3개월 이내에 개최한다. 임시주주총회는 이사회의 결의에 따라 언제든지 개최할 수 있다. 대표이사는 이사회의 결의에 따라 각 주주총회를 소집한다. 
3. 의결정족수. 주주총회 특별결의사항의 승인 및 상법상 특별결의를 요하는 사항은 본건 주식의 발행주식총수의 3분의 2의 찬성에 의하여야 한다. 기타 주주총회에 회부된 사항에 대한 승인은 본건 주식의 발행주식총수의 [BLANK] 의 찬성에 의하여야 한다.
",과반수,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0028,COMPLETION_MEDIUM,SHA,"제2조 회사의 지배구조
(1) 주주총회
1. 권한 및 책임. 주주총회는 부록 1에 기재된 사항(“주주총회 특별결의사항”) 및 기타 관련 법률에 따라 주주총회에 유보된 사항을 결정 및 결의한다.
2. 주주총회. 정기주주총회는 회사의 매 회계연도 종료 후 3개월 이내에 개최한다. 임시주주총회는 이사회의 결의에 따라 언제든지 개최할 수 있다. 대표이사는 이사회의 결의에 따라 각 주주총회를 소집한다. 
3. 의결정족수. [BLANK] 은 본건 주식의 발행주식총수의 3분의 2의 찬성에 의하여야 한다. 기타 주주총회에 회부된 사항에 대한 승인은 본건 주식의 발행주식총수의 과반수의 찬성에 의하여야 한다.",주주총회 특별결의사항의 승인 및 상법상 특별결의를 요하는 사항,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0029,COMPLETION_HARD,SHA,"제2조 회사의 지배구조
(1) 주주총회
1. 권한 및 책임. 주주총회는 부록 1에 기재된 사항(“주주총회 특별결의사항”) 및 기타 관련 법률에 따라 주주총회에 유보된 사항을 결정 및 결의한다.
2. 주주총회. 정기주주총회는 회사의 매 회계연도"," 종료 후 3개월 이내에 개최한다. 임시주주총회는 이사회의 결의에 따라 언제든지 개최할 수 있다. 대표이사는 이사회의 결의에 따라 각 주주총회를 소집한다. 
3. 의결정족수. 주주총회 특별결의사항의 승인 및 상법상 특별결의를 요하는 사항은 본건 주식의 발행주식총수의 3분의 2의 찬성에 의하여야 한다. 기타 주주총회에 회부된 사항에 대한 승인은 본건 주식의 발행주식총수의 과반수의 찬성에 의하여야 한다.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0030,COMPLETION_EASY,SHA,"2. 제5조 제1항 제1호의 일반성을 해함이 없이, 당사자들은 IPO가 적격 IPO로 진행되지 않을 것이라는 지배주주의 합리적인 판단이 있을 경우 지배주주는 회사로 하여금 IPO를 진행하게 할 의무를 지지 않음에 동의한다. IPO가 적격 IPO로 진행될 것이라는 합리적인 판단에 따라 지배주주가 회사로 하여금 IPO를 진행하게 하였으나 해당 IPO가 완료 당시 적격 IPO의 조건을 충족하지 않는 경우, 본 계약상 상반되는 조항에도 불구하고 (i) 지배주주는 해당 IPO의 완료일로부터 [?]영업일 이내에, 소수주주가 매도대상주식 전부에 대하여 [BLANK]을 실현할 수 있는 금액의 현금 대금 또는 지급액을 수취하는 것을 조건(“적격 간주 IPO 조건”)으로 하는 대체 거래를 제안하고, (ii) 소수주주는 지배주주의 제안을 받은 날로부터 [?]영업일 이내에 제안 수락 여부를 결정하여 지배주주에 통지하여야 한다.",최소 IRR,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0031,COMPLETION_MEDIUM,SHA,"1.????? 제5조 제1항 제1호의 일반성을 해함이 없이, 당사자들은 IPO가 적격 IPO로 진행되지 않을 것이라는 지배주주의 합리적인 판단이 있을 경우 지배주주는 회사로 하여금 IPO를 진행하게 할 의무를 지지 않음에 동의한다. IPO가 적격 IPO로 진행될 것이라는 합리적인 판단에 따라 지배주주가 회사로 하여금 IPO를 진행하게 하였으나[BLANK], 본 계약상 상반되는 조항에도 불구하고 (i) 지배주주는 해당 IPO의 완료일로부터 [?]영업일 이내에, 소수주주가 매도대상주식 전부에 대하여 최소 IRR을 실현할 수 있는 금액의 현금 대금 또는 지급액을 수취하는 것을 조건(“적격 간주 IPO 조건”)으로 하는 대체 거래를 제안하고, (ii) 소수주주는 지배주주의 제안을 받은 날로부터 [?]영업일 이내에 제안 수락 여부를 결정하여 지배주주에 통지하여야 한다.", 해당 IPO가 완료 당시 적격 IPO의 조건을 충족하지 않는 경우,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0032,COMPLETION_HARD,SHA,"2. 제5조 제1항 제1호의 일반성을 해함이 없이, 당사자들은 IPO가 적격 IPO로 진행되지 않을 것이라는 지배주주의 합리적인 판단이 있을 경우 지배주주는 회사로 하여금 IPO를 진행하게 할 의무를 지지 않음에 동의한다. IPO가 적격 IPO로 진행될 것이라는 합리적인 판단에 따라 지배주주가 회사로 하여금 IPO를 진행하게 하였으나 해당 IPO가 완료 당시 적격 IPO의 조건을 충족하지 않는 경우, 본 계약상 상반되는 조항에도 불구하고 (i) 지배주주는 ","해당 IPO의 완료일로부터 [?]영업일 이내에, 소수주주가 매도대상주식 전부에 대하여 최소 IRR을 실현할 수 있는 금액의 현금 대금 또는 지급액을 수취하는 것을 조건(“적격 간주 IPO 조건”)으로 하는 대체 거래를 제안하고, (ii) 소수주주는 지배주주의 제안을 받은 날로부터 [?]영업일 이내에 제안 수락 여부를 결정하여 지배주주에 통지하여야 한다.",SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0033,COMPLETION_EASY,SHA,"제3조 양도가 허용되는 주식에 대한 [BLANK]
(1) 어느 당사자(“양도당사자”)가 자신이 보유한 회사 주식(“제안주식”)을 제3자에게 처분하고자 하는 경우, 그 상대방 당사자(“비양도당사자”)는 본 조에 따라 그 제안주식의 전부를 우선적으로 매수할 권리(“[BLANK]”)를 가진다.
(2) 양도당사자는 제3자(“제3자 매수인”)에게 매도하고자 하는 주식 수, 주당 매도가격(“매도예정가격”), 제3자 매수인의 상호(또는 이름) 및 주소의 정보를 포함한 매매의 주요 정보를 비양도당사자에게 서면통지(“양도통지”) 하여야 한다. 비양도당사자는 양도통지를 받은 날로부터 [?]주(“옵션기간”) 이내에 양도당사자에게 서면통지(“우선매수통지”)함으로써 [BLANK]을 행사한다.
",우선매수권,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - 50_50
T0034,COMPLETION_MEDIUM,SHA,"제6조 주식의 양도
(1) 일반사항. 본 제6조에 의한 경우를 제외하고 어떠한 당사자도 자신이 보유한 본건 주식을 양도하여서는 안 된다. 본 조를 위반하여 본건 주식을 양도하는 경우 그러한 양도는 (i) 처음부터 무효이고 (ii) 관련 법률상 허용되는 범위 내에서 회사의 장부상 기록되지 않으며 회사에 의하여 인정되지 않는다.
(2) 제3자에 대한 양도; 우선매수권.
1. 거래종결일로부터 [?]년(“매도제한기간”)이 경과한 후 소수주주가 제3자 매수 예정인(“제3자 매수인”)으로부터 선의의 제안을 받아 자신이 보유한 본건 주식 전부(일부는 불가함)(이하 본 항에서 “제안주식”)를 양도하고자 하는 경우, 소수주주는 해당 제안에 대하여 서면으로 지배주주 및 이사회에 통지(“양도통지”)하여야 한다. 양도통지에는 [BLANK] 을 기재하여야 한다.", 제안주식 1주당 가격 및 제안주식의 수 등 제3자 매수인으로부터 받은 선의의 제안의 조건,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0035,COMPLETION_HARD,SHA,"제6조 주식의 양도
(1) 일반사항. 본 제6조에 의한 경우를 제외하고 어떠한 당사자도 자신이 보유한 본건 주식을 양도하여서는 안 된다. 본 조를 위반하여 본건 주식을 양도하는 경우 그러한 양도는 (i) 처음부터 무효이고 (ii) 관련 법률상 허용되는 범위 내에서 회사의 장부상 기록되지 않으며 회사에 의하여 인정되지 않는다.
(2) 제3자에 대한 양도; 우선매수권.
1. 거래종결일로부터 [?]년(“매도제한기간”)이 경과한 후 소수주주가 제3자 매수 예정인(“제3자 매수인”)으로부터 선의의 제안을 받아 자신이 보유한 본건 주식 전부(일부는 불가함)(이하 본 항에서 “제안주식”)를 양도하고자 하는 경우, 소수주주는 해당 제안에 대하여 서면으로 지배주주 및 이사회에 통지(“양도통지”)하여야 한다. 양도통지에는 제안주식 1주당 가격 및 제안주식의 수 등 제3자 매수인으로부터 받은 선의의 제안의 조건을 기재하여야 한다.
2. 지배주주는 양도통지를 수령한 후", [?]일(“옵션기간”) 이내에 소수주주에 서면으로 통지(“우선매수권통지”)함으로써 양도통지에 명시된 것과 동일한 조건으로 제안주식 전부(일부는 불가함)를 매수할 수 있는 우선매수권(“우선매수권”)을 행사하여야 한다.,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0036,COMPLETION_EASY,SHA,"제4조 투자자의 동반매도청구권(Tag-Along Right) 
(1) 제2조에 따라 투자자가 이해관계인의 주식의 양도등에 대하여 동의하였고, 제3조에 따른 우선매수권을 행사하지 않은 투자자는 그와 같이 주식을 양도하는 이해관계인에 대하여 투자자가 보유한 회사 주식의 전부 또는 일부(“동반매도주식”)를 공동으로 이해관계인과 실질적으로 [BLANK]에 매도하는 거래에 참여할 수 있는 권리(“동반매도청구권”)를 가진다. ",동일한 거래조건,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
T0037,COMPLETION_MEDIUM,SHA,"제4조 투자자의 동반매도청구권(Tag-Along Right) 
(1) 제2조에 따라 투자자가 이해관계인의 주식의 양도등에 대하여 동의하였고, 제3조에 따른 우선매수권을 행사하지 않은 투자자는 그와 같이 주식을 양도하는 이해관계인에 대하여 투자자가 보유한 회사 주식의 전부 또는 일부(“동반매도주식”)를 공동으로 이해관계인과 실질적으로 동일한 거래조건에 매도하는 거래에 참여할 수 있는 권리(“동반매도청구권”)를 가진다. 
(2) 투자자가 제3조 제1항에 따라 이해관계인으로부터 양도통지를 받은 경우, 제3조에 따른 우선매수청구권을 행사하지 않은 투자자는 제3조 제2항에 따른 옵션기간 종료 이후 [?]일 이내에 이해관계인에게 동반매도주식 수 및 동반매도청구권을 행사하겠다는 의사를 서면으로 통지(“동반매도청구통지”)함으로써 제4조 제1항에 따른 동반매도청구권을 행사할 수 있다. 투자자가 제3조 제2항에 따른 우선매수기간 종료 이후 [?]일 이내에 동반매도청구통지를 하지 않은 경우에는 [BLANK].
",이해관계인은 본 조에 의한 동반매도청구권의 부담 없이 제3조의 절차에 따라 양도등을 할 수 있다,SY_WORK-#7701626-v4-_LGHH_ M&A - 국문 표준 SHA 양식 - Pro Majority
